"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 01:00","2019","04","03","01:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 02:00","2019","04","03","02:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 03:00","2019","04","03","03:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 04:00","2019","04","03","04:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 05:00","2019","04","03","05:00","-14.5","","-18.7","","71","","","","28","","9","","24.1","","98.17","","","","-20","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 06:00","2019","04","03","06:00","-14.8","","-18.6","","73","","","","32","","8","","24.1","","98.23","","","","-20","","Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 07:00","2019","04","03","07:00","-14.2","","-18.1","","72","","","","30","","8","","24.1","","98.30","","","","-19","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 08:00","2019","04","03","08:00","-12.6","","-17.6","","67","","","","33","","14","","24.1","","98.36","","","","-20","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 09:00","2019","04","03","09:00","-11.1","","-17.6","","59","","","","30","","14","","24.1","","98.41","","","","-18","","Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 10:00","2019","04","03","10:00","-9.5","","-17.7","","52","","","","30","","16","","24.1","","98.44","","","","-16","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 11:00","2019","04","03","11:00","-8.5","","-18.6","","44","","","","30","","9","","24.1","","98.48","","","","-13","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 12:00","2019","04","03","12:00","-7.3","","-18.1","","42","","","","29","","14","","24.1","","98.51","","","","-13","","Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 13:00","2019","04","03","13:00","-6.5","","-18.0","","40","","","","32","","9","","24.1","","98.48","","","","-11","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 14:00","2019","04","03","14:00","-5.8","","-18.4","","37","","","","19","","13","","24.1","","98.47","","","","-11","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 15:00","2019","04","03","15:00","-5.2","","-17.6","","38","","","","16","","13","","24.1","","98.45","","","","-10","","Mainly Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 16:00","2019","04","03","16:00","-4.8","","-16.6","","39","","","","16","","11","","24.1","","98.45","","","","-9","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 17:00","2019","04","03","17:00","-4.8","","-18.1","","35","","","","15","","11","","24.1","","98.41","","","","-9","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 18:00","2019","04","03","18:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 19:00","2019","04","03","19:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 20:00","2019","04","03","20:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 21:00","2019","04","03","21:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 22:00","2019","04","03","22:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-03 23:00","2019","04","03","23:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 00:00","2019","04","04","00:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 01:00","2019","04","04","01:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 02:00","2019","04","04","02:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 03:00","2019","04","04","03:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 04:00","2019","04","04","04:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 05:00","2019","04","04","05:00","-6.7","","-10.2","","76","","","","15","","16","","16.1","","97.65","","","","-13","","Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 06:00","2019","04","04","06:00","-6.9","","-10.1","","78","","","","12","","12","","24.1","","97.58","","","","-12","","Snow"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 07:00","2019","04","04","07:00","-7.1","","-10.4","","78","","","","9","","5","","24.1","","97.54","","","","-10","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 08:00","2019","04","04","08:00","-6.6","","-10.0","","77","","","","11","","9","","24.1","","97.48","","","","-11","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 09:00","2019","04","04","09:00","-4.9","","-9.1","","72","","","","17","","10","","24.1","","97.41","","","","-9","","Mostly Cloudy"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 10:00","2019","04","04","10:00","-4.6","","-8.2","","76","","","","21","","7","","24.1","","97.42","","","","-8","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 11:00","2019","04","04","11:00","-3.5","","-7.3","","75","","","","36","","3","","24.1","","97.44","","","","-5","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 12:00","2019","04","04","12:00","-1.2","","-6.2","","69","","","","6","","8","","24.1","","97.40","","","","-4","","Mainly Clear"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 13:00","2019","04","04","13:00","0.5","","-6.1","","61","","","","1","","17","","24.1","","97.40","","","","","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 14:00","2019","04","04","14:00","-0.7","","-7.8","","59","","","","1","","24","","24.1","","97.51","","","","-7","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 15:00","2019","04","04","15:00","-1.8","","-7.2","","66","","","","36","","19","","24.1","","97.61","","","","-7","","Mostly Cloudy"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 16:00","2019","04","04","16:00","-2.8","","-8.1","","67","","","","36","","18","","24.1","","97.70","","","","-8","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 17:00","2019","04","04","17:00","-3.3","","-8.3","","68","","","","2","","16","","24.1","","97.77","","","","-9","","NA"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 18:00","2019","04","04","18:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 19:00","2019","04","04","19:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 20:00","2019","04","04","20:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 21:00","2019","04","04","21:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 22:00","2019","04","04","22:00"
"-101.68","54.68","FLIN FLON A","5050961","2019-04-04 23:00","2019","04","04","23:00"
